# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	확장된 별형 모드
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=	점프 개수
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=	무한
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT=	기본값으로 되돌리기
MODOPTIONS_EXTENDEDVARIANTS_UPSIDEDOWN=	상하반전
MODOPTIONS_EXTENDEDVARIANTS_HYPERDASHSPEED=	하이퍼대시 속도
MODOPTIONS_EXTENDEDVARIANTS_WALLBOUNCINGSPEED=	벽 바운스 속도
MODOPTIONS_EXTENDEDVARIANTS_DASHLENGTH=	대시 지속시간
MODOPTIONS_EXTENDEDVARIANTS_FORCEDUCKONGROUND=	지면에 강제로 숙이기
MODOPTIONS_EXTENDEDVARIANTS_INVERTDASHES=	대시 방향 뒤집기
MODOPTIONS_EXTENDEDVARIANTS_INVERTGRAB=     잡기 반전   
MODOPTIONS_EXTENDEDVARIANTS_DISABLENEUTRALJUMPING=	중립 점프 끄기
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSRANDOMLY=	별형들을 무작위로 바꾸기
MODOPTIONS_EXTENDEDVARIANTS_OFF=	꺼짐
MODOPTIONS_EXTENDEDVARIANTS_VANILLA=	기본
MODOPTIONS_EXTENDEDVARIANTS_EXTENDED=	확장
MODOPTIONS_EXTENDEDVARIANTS_BOTH=	모두
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSINTERVAL=	별형 바꾸기를...
MODOPTIONS_EXTENDEDVARIANTS_ONSCREENTRANSITION=	각 화면 마다
MODOPTIONS_EXTENDEDVARIANTS_EVERY=	주기적으로
MODOPTIONS_EXTENDEDVARIANTS_BADELINECHASERSEVERYWHERE=	모든 방에 배드라인 추격자
MODOPTIONS_EXTENDEDVARIANTS_CHASERCOUNT=	추격자 개수
MODOPTIONS_EXTENDEDVARIANTS_AFFECTEXISTINGCHASERS=	현존하는 추격자에 영향
MODOPTIONS_EXTENDEDVARIANTS_REGULARHICCUPS=	딸국질을 주기적으로...
MODOPTIONS_EXTENDEDVARIANTS_HICCUPSTRENGTH=	딸국질 세기
MODOPTIONS_EXTENDEDVARIANTS_DISABLED=	꺼짐
MODOPTIONS_EXTENDEDVARIANTS_REFILLJUMPSONDASHREFILL=	대시 충전시 점프도 충전
MODOPTIONS_EXTENDEDVARIANTS_ROOMLIGHTING=	방 밝기
MODOPTIONS_EXTENDEDVARIANTS_ROOMBLOOM=	방 블룸
MODOPTIONS_EXTENDEDVARIANTS_OSHIROEVERYWHERE=	모든 방에 오시로
MODOPTIONS_EXTENDEDVARIANTS_OSHIROCOUNT=	오시로 수
MODOPTIONS_EXTENDEDVARIANTS_DISABLEOSHIROSLOWDOWN=	오시로 감속 끄기
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE=	모든 방에 바람
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFT=	왼쪽
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHT=	오른쪽
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTSTRONG=	강하게 왼쪽
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTSTRONG=	강하게 오른쪽
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFF=	왼쪽 켜짐/꺼짐
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFF=	오른쪽 켜짐/꺼짐
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFFFAST=	왼쪽 빠르게 켜짐/꺼짐
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFFFAST=	오른쪽 빠르게 켜짐/꺼짐
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_ALTERNATING=	번갈아서
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_DOWN=	아래
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_UP=	위
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTCRAZY=	미친듯이 강하게 오른쪽
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RANDOM=	무작위
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLSEVERYWHERE=	모든 방에 눈덩이
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLDELAY=	눈덩이 지연시간 (기본 0.8s)
MODOPTIONS_EXTENDEDVARIANTS_ADDSEEKERS=	시커즈 추가
MODOPTIONS_EXTENDEDVARIANTS_DISABLESEEKERSLOWDOWN=	시커 감속 끄기
MODOPTIONS_EXTENDEDVARIANTS_THEOCRYSTALSEVERYWHERE=	모든 방에 테오 크리스탈
MODOPTIONS_EXTENDEDVARIANTS_BADELINELAG=	배드라인와 플레이어 사이 지연
MODOPTIONS_EXTENDEDVARIANTS_DELAYBETWEENBADELINES=	배드라인들 사이 지연(기본 0.4초)
MODOPTIONS_EXTENDEDVARIANTS_HELDDASH=	눌러서 대시
MODOPTIONS_EXTENDEDVARIANTS_ALLSTRAWBERRIESAREGOLDENS=	모든 딸기가 황금 베리
MODOPTIONS_EXTENDEDVARIANTS_DONTREFILLDASHONGROUND=	지면에 대시 충전이 안됨
MODOPTIONS_EXTENDEDVARIANTS_GAMESPEED=	게임 속도
MODOPTIONS_EXTENDEDVARIANTS_EVERYTHINGISUNDERWATER=	모든 방을 물에 잠굼

MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSESEVERYWHERE=	모든 방에 배드라인 보스
MODOPTIONS_EXTENDEDVARIANTS_BADELINEATTACKPATTERN=	배드라인 공격 패턴
MODOPTIONS_EXTENDEDVARIANTS_CHANGEPATTERNSOFEXISTINGBOSSES=	현존하는 보스들의 패턴 변경하기
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM=	첫번째 배드라인 나타나는 위치
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM_OFF=	방 반대편
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM_ON=	랜덤
MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSCOUNT=	배드라인 보스 수
MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSNODECOUNT=	배드라인 보스의 위치 수
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_1=	느린 샷
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_2=	빔 > 샷
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_3=	빠른 더블샷
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_4=	더블샷 > 빔
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_5=	빔 > 더블샷
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_9=	느린 더블샷
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_10=	아무것도 안 함
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_14=	빠른 빔
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_15=	느린 빔

MODOPTIONS_EXTENDEDVARIANTS_COLORGRADING=    색 보정
MODOPTIONS_EXTENDEDVARIANTS_CG_NONE=    없음
MODOPTIONS_EXTENDEDVARIANTS_CG_COLD=    차가움
MODOPTIONS_EXTENDEDVARIANTS_CG_HOT=    따뜻함
MODOPTIONS_EXTENDEDVARIANTS_CG_CREDITS=    엔딩 크레딧
MODOPTIONS_EXTENDEDVARIANTS_CG_FEELINGDOWN=    우울함
MODOPTIONS_EXTENDEDVARIANTS_CG_GOLDEN=    황금
MODOPTIONS_EXTENDEDVARIANTS_CG_OLDSITE=    오래된 곳
MODOPTIONS_EXTENDEDVARIANTS_CG_PANICATTACK=    패닉 어택
MODOPTIONS_EXTENDEDVARIANTS_CG_REFLECTION=    반영
MODOPTIONS_EXTENDEDVARIANTS_CG_TEMPLEVOID=    사원의 공백
MODOPTIONS_EXTENDEDVARIANTS_CG_TETRIS=    테트리스 (셀시우스)
MODOPTIONS_EXTENDEDVARIANTS_CG_INVERTED=    색 반전
MODOPTIONS_EXTENDEDVARIANTS_CG_GREYSCALE=    흑백
MODOPTIONS_EXTENDEDVARIANTS_CG_SEPIA=    세피아
MODOPTIONS_EXTENDEDVARIANTS_CG_RGBSHIFT1=    색 변경 (1)
MODOPTIONS_EXTENDEDVARIANTS_CG_RGBSHIFT2=    색 변경 (2)

MODOPTIONS_EXTENDEDVARIANTS_JELLYFISHEVERYWHERE=	모든 방에 해파리

MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER=	무작위성 생성 옵션
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZERTITLE=	무작위성 생성 옵션
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA=	무작위화한 기본 별형 선택
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA_ASSISTS=	무작위화한 기본 보조 선택
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_EXTENDED=	무작위화한 확장된 별형 선택
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_GENERALSETTINGS=	기본 설정
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VARIANTSET=	무작위화할 별형
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_REROLLMODE=	리롤 모드
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS=	켤 수 있는 최대 별형 개수
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS_REROLL=	매 리롤마다 켤 별형 개수
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VANILLAFY=	얼마동안 화면을 완료 못 하면 별형을 끔
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_OUTPUT=	사용되는 별형을 파일로 출력
