# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Modo de variantes extendido
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTCRAZY=	Alocado
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RANDOM=	Aleatorio
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLSEVERYWHERE=	Bolas de nieve siempre
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLDELAY=	Retraso entre estas (Defecto 0.8s)
MODOPTIONS_EXTENDEDVARIANTS_ADDSEEKERS=	Añadir buscadores
MODOPTIONS_EXTENDEDVARIANTS_DISABLESEEKERSLOWDOWN=	Desactivar realentización del buscador
MODOPTIONS_EXTENDEDVARIANTS_THEOCRYSTALSEVERYWHERE=	Cristal de Theo siempre
MODOPTIONS_EXTENDEDVARIANTS_BADELINELAG=	Retraso entre Badeline y jugador
MODOPTIONS_EXTENDEDVARIANTS_HELDDASH=	Mantener el botón de impulso
MODOPTIONS_EXTENDEDVARIANTS_ALLSTRAWBERRIESAREGOLDENS=	Todas las fresas son como las doradas
MODOPTIONS_EXTENDEDVARIANTS_DONTREFILLDASHONGROUND=	No recargar el impulso en el suelo
MODOPTIONS_EXTENDEDVARIANTS_GAMESPEED=	Velocidad del juego

MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER=	Opciones del aleatorizador
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZERTITLE=	OPCIONES DEL ALEATORIZADOR
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA=	Seleccionar variantes aleatorias de vainilla
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA_ASSISTS=	Seleccionar asistencias aleatorias de vainilla
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_EXTENDED=	Seleccionar variantes extendidas aleatorias
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_GENERALSETTINGS=	Opciones generales
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VARIANTSET=	Variantes para aleatorizar
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_REROLLMODE=	Modo repetición
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS=	Contador máximo de variantes para habilitar
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS_REROLL=	Variantes para habilitar en cada repetición
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VANILLAFY=	Deshabilitar las variantes si se atasca cada...
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_OUTPUT=	Salida de variantes activas al archivo
