# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Mode Variante étendu
MODOPTIONS_EXTENDEDVARIANTS_OFF=	Désactivé
MODOPTIONS_EXTENDEDVARIANTS_VANILLA=	De base
MODOPTIONS_EXTENDEDVARIANTS_EXTENDED=	Étendues
MODOPTIONS_EXTENDEDVARIANTS_BOTH=	Les deux
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSINTERVAL=	Modifier les variantes...
MODOPTIONS_EXTENDEDVARIANTS_ONSCREENTRANSITION=	Sur chaque écran
MODOPTIONS_EXTENDEDVARIANTS_EVERY=	Toutes les
MODOPTIONS_EXTENDEDVARIANTS_BADELINECHASERSEVERYWHERE=	Course-poursuite avec Badeline partout
MODOPTIONS_EXTENDEDVARIANTS_CHASERCOUNT=	Nombre de poursuivants
MODOPTIONS_EXTENDEDVARIANTS_AFFECTEXISTINGCHASERS=	Modifier les courses-poursuites existantes
MODOPTIONS_EXTENDEDVARIANTS_REGULARHICCUPS=	Hoquet toutes les...
MODOPTIONS_EXTENDEDVARIANTS_HICCUPSTRENGTH=	Force du hoquet
MODOPTIONS_EXTENDEDVARIANTS_DISABLED=	Désactivé
MODOPTIONS_EXTENDEDVARIANTS_REFILLJUMPSONDASHREFILL=	Rendre les sauts en même temps que le dash
MODOPTIONS_EXTENDEDVARIANTS_ROOMLIGHTING=	Eclairage du niveau
MODOPTIONS_EXTENDEDVARIANTS_ROOMBLOOM=	Brillance du niveau
MODOPTIONS_EXTENDEDVARIANTS_GLITCHEFFECT=	Effet "glitch"
MODOPTIONS_EXTENDEDVARIANTS_OSHIROEVERYWHERE=	Oshiro partout
MODOPTIONS_EXTENDEDVARIANTS_OSHIROCOUNT=	Nombre d'Oshiro
MODOPTIONS_EXTENDEDVARIANTS_REVERSEOSHIROCOUNT=	Nombre d'Oshiro inversés
MODOPTIONS_EXTENDEDVARIANTS_DISABLEOSHIROSLOWDOWN=	Désactiver le ralentissement par Oshiro
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE=	Vent partout
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFT=	Gauche
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHT=	Droite
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTSTRONG=	Gauche puissant
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTSTRONG=	Droite puissant
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFF=	Gauche intermittent
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFF=	Droite intermittent
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFFFAST=	Gauche int. rapide
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFFFAST=	Droite int. rapide
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_ALTERNATING=	Alternant
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_DOWN=	Bas
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_UP=	Haut
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTCRAZY=	Droite très puissant
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RANDOM=	Aléatoire
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLSEVERYWHERE=	Boules de neige partout
MODOPTIONS_EXTENDEDVARIANTS_SNOWBALLDELAY=	Délai des boules de neige (0.8s par défaut)
MODOPTIONS_EXTENDEDVARIANTS_ADDSEEKERS=	Ajouter des "seekers"
MODOPTIONS_EXTENDEDVARIANTS_DISABLESEEKERSLOWDOWN=	Désactiver le ralentissement par les "seekers"
MODOPTIONS_EXTENDEDVARIANTS_THEOCRYSTALSEVERYWHERE=	Cristaux Theo partout
MODOPTIONS_EXTENDEDVARIANTS_BADELINELAG=	Délai entre Badeline et le joueur
MODOPTIONS_EXTENDEDVARIANTS_DELAYBETWEENBADELINES=	Délai entre deux Badeline (0.4s par défaut)
MODOPTIONS_EXTENDEDVARIANTS_HELDDASH=	Dash maintenu
MODOPTIONS_EXTENDEDVARIANTS_ALLSTRAWBERRIESAREGOLDENS=	Toutes les fraises sont dorées
MODOPTIONS_EXTENDEDVARIANTS_DONTREFILLDASHONGROUND= Ne pas rendre le dash au sol
MODOPTIONS_EXTENDEDVARIANTS_GAMESPEED=	Vitesse de jeu
MODOPTIONS_EXTENDEDVARIANTS_EVERYTHINGISUNDERWATER=	Tous les niveaux sont sous l'eau
MODOPTIONS_EXTENDEDVARIANTS_SUPERDASHSTEERINGSPEED=	Variante Super Sprint - Vitesse de rotation

MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSESEVERYWHERE=	Boss final (Badeline) partout
MODOPTIONS_EXTENDEDVARIANTS_BADELINEATTACKPATTERN=	Pattern d'attaque du boss
MODOPTIONS_EXTENDEDVARIANTS_CHANGEPATTERNSOFEXISTINGBOSSES=	Modifier le pattern des boss existants
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM=	Position du premier boss
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM_OFF=	Opposé de la salle
MODOPTIONS_EXTENDEDVARIANTS_FIRSTBADELINESPAWNRANDOM_ON=	Aléatoire
MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSCOUNT=	Nombre de boss
MODOPTIONS_EXTENDEDVARIANTS_BADELINEBOSSNODECOUNT=	Nombre de positions pour chaque boss
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_1=	Tirs lents
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_2=	Laser > Tir
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_3=	Double-tirs rapides
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_4=	Double-tirs > Laser
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_5=	Laser > Double-tirs
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_9=	Double-tirs lents
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_10=	Rien
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_14=	Laser rapide
MODOPTIONS_EXTENDEDVARIANTS_BADELINEPATTERN_15=	Laser lent

MODOPTIONS_EXTENDEDVARIANTS_COLORGRADING=	Coloration du niveau
MODOPTIONS_EXTENDEDVARIANTS_CG_NONE=	Aucune
MODOPTIONS_EXTENDEDVARIANTS_CG_COLD=	Froid
MODOPTIONS_EXTENDEDVARIANTS_CG_HOT=	Chaud
MODOPTIONS_EXTENDEDVARIANTS_CG_CREDITS=	Crédits
MODOPTIONS_EXTENDEDVARIANTS_CG_FEELINGDOWN=	Se sent mal
MODOPTIONS_EXTENDEDVARIANTS_CG_GOLDEN=	Doré
MODOPTIONS_EXTENDEDVARIANTS_CG_OLDSITE=	Site ancien
MODOPTIONS_EXTENDEDVARIANTS_CG_PANICATTACK=	Crise de panique
MODOPTIONS_EXTENDEDVARIANTS_CG_REFLECTION=	Réflexion
MODOPTIONS_EXTENDEDVARIANTS_CG_TEMPLEVOID=	Temple (vide)
MODOPTIONS_EXTENDEDVARIANTS_CG_TETRIS=	Tetris (Celsius)
MODOPTIONS_EXTENDEDVARIANTS_CG_INVERTED=	Couleurs inversées
MODOPTIONS_EXTENDEDVARIANTS_CG_GREYSCALE=	Noir et blanc
MODOPTIONS_EXTENDEDVARIANTS_CG_SEPIA=	Sépia
MODOPTIONS_EXTENDEDVARIANTS_CG_RGBSHIFT1=	Recoloration (1)
MODOPTIONS_EXTENDEDVARIANTS_CG_RGBSHIFT2=	Recoloration (2)
MODOPTIONS_EXTENDEDVARIANTS_CG_HOLLYS_RANDOMNOISE=	Corrompue

MODOPTIONS_EXTENDEDVARIANTS_JELLYFISHEVERYWHERE=	Méduses partout
MODOPTIONS_EXTENDEDVARIANTS_RISINGLAVAEVERYWHERE=	Lave / Glace partout
MODOPTIONS_EXTENDEDVARIANTS_RISINGLAVASPEED=	Vitesse de la lave / glace

MODOPTIONS_EXTENDEDVARIANTS_EXPLODELAUNCHSPEED=	Vitesse donnée par les explosions

MODOPTIONS_EXTENDEDVARIANTS_INVERTHORIZONTALCONTROLS=	Inverser les contrôles horizontaux

MODOPTIONS_EXTENDEDVARIANTS_BOUNCEEVERYWHERE=	Rebondir partout

MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER=	Options des variantes aléatoires
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZERTITLE=	VARIANTES ALÉATOIRES
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA=	Choisir les variantes de base à modifier
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_VANILLA_ASSISTS=	Choisir les options d'assistance à modifier
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_ENABLED_EXTENDED=	Choisir les variantes étendues à modifier
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_GENERALSETTINGS=	Réglages généraux
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VARIANTSET=	Variantes à modifier
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_REROLLMODE=	Mode "reroll"
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS=	Nombre de variantes max à activer
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_MAXENABLEDVARIANTS_REROLL=	Variantes à activer à chaque "reroll"
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_VANILLAFY=	Désactiver des variantes si bloqué pendant...
MODOPTIONS_EXTENDEDVARIANTS_RANDOMIZER_DISPLAYONSCREEN=	Afficher les variantes actives à l'écran
